bank_name,bank_id,bank_type
BRI,2,SB
Mandiri,8,SB
BNI,9,SB
Danamon,11,PNB
Bank Permata,13,PNB
BCA,14,PNB
Maybank,16,PNB
Bank Pan,19,PNB
CIMB Niaga,22,PNB
Bank UOB,23,PNB
OCBC NISP,28,PNB
Citibank,31,FB
JP Morgan Chase Bank,32,FB
Bank of America,33,FB
China Construction Bank,36,PNB
Bank Artha Graha Internasional,37,PNB
Bangkok Bank,40,FB
"The Hongkong & Shanghai B.C, Ltd",41,FB
The Bank of Tokyo-Mitsubishi UFJ Ltd.,42,FB
Bank Sumitomo Mitsui,45,JV
Bank DBS,46,JV
Bank Resona Perdania,47,JV
Bank Mizuho Indonesia,48,JV
Standard Chartered Bank,50,FB
Bank Capital Indonesia,54,JV
BNP Paribas,57,JV
ANZ,61,JV
Deutsche Bank,67,FB
Bank of China,69,FB
Bank Bumi Arta,76,PNB
HSBC,87,JV
Rabobank,89,JV
Bank JTrust Indonesia,95,PNB
Bank Mayapada International,97,PNB
BPD Jawa Barat Dan Banten,110,BPD
BPD DKI,111,BPD
BPD Daerah Istimewa  Yogyakarta,112,BPD
BPD Jawa Tengah,113,BPD
BPD Jawa Timur,114,BPD
BPD Jambi,115,BPD
Bank Aceh Syariah,116,BPD
BPD Sumatera Utara,117,BPD
BPD Sumatera Barat,118,BPD
BPD Riau dan Kepulauan Riau,119,BPD
BPD Sumatera Selatan dan Bangka Belitung,120,BPD
BPD Lampung,121,BPD
BPD Kalimantan Selatan,122,BPD
BPD Kalimantan Barat,123,BPD
BPD Kalimantan Timur,124,BPD
BPD Sulawesi Selatan dan Sulawesi Barat,126,BPD
BPD Sulawesi Utara Gorontalo,127,BPD
BPD Nusa Tenggara Barat,128,BPD
BPD Bali,129,BPD
BPD Nusa Tenggara Timur,130,BPD
BPD Maluku dan Maluku Utara,131,BPD
BPD Papua,132,BPD
BPD Bengkulu,133,BPD
BPD Banten,137,BPD
Bank Nusantara Parahyangan,145,PNB
Bank of India,146,PNB
Bank Muamalat,147,PNB
Bank Mestika Dharma,151,PNB
Bank Shinhan,152,PNB
Sinarmas,153,PNB
Maspion,157,PNB
Bank Ganesha,161,PNB
Bank ICBC,164,PNB
QNB,167,PNB
BTN,200,SB
Bank Woori Saudara Indonesia 1906,212,PNB
BTPN,213,PNB
Bank Victoria Syariah,405,PNB
BRI Syariah,422,PNB
Bank Jabar Banten Syariah,425,PNB
Bank Mega,426,PNB
BNI Syariah,427,PNB
Bukopin,441,PNB
Mandiri Syariah,451,PNB
Bank Bisnis Internasional,459,PNB
bank Andara,466,PNB
Bank Jasa Jakarta,472,PNB
Bank KEB Hana,484,PNB
Bank MNC,485,PNB
Bank Yudha Bhakti,490,PNB
Bank Mitraniaga,491,PNB
BRI Agroniaga,494,PNB
Bank SBI,498,PNB
bank Royal Indonesia,501,PNB
Bank Nationalnobu,503,PNB
Bank Mega Syariah,506,PNB
Bank Ina Perdana,513,PNB
Panin Dubai Syariah,517,PNB
Prima Master Bank,520,PNB
Bukopoin Syariah,521,PNB
Bank Sahabat Sampoerna,523,PNB
Bank Dinar,526,PNB
Bank Amar,531,PNB
Bank Kesejahteraan Ekonomi,535,PNB
BCA Syariah,536,PNB
Bank Artos,542,PNB
BTPN Syariah,547,PNB
Bank Multiarta Sentosa,548,PNB
Bank Mayora,553,PNB
Bank Index Selindo,555,PNB
Bank Fama Internasional,562,PNB
Mandiri Taspen,564,PNB
Bank Victoria International,566,PNB
Bank Harda Internasional,567,PNB
Bank Agris,945,JV
Maybank Syariah,947,PNB
CTBC,949,JV
Bank Commonwealth,950,JV
