BPS_ID#;KAB_NAME;2010_male;2010_female;2010_total;2015_male;2015_female;2015_total;2015_adult;poverty_rupiah;poverty_people;poverty_percent;electricity_count;electricty_percent
1101;Simeulue;41469;39205;80674;45483;43474;88957;58047;311351;18120;20,43;88,66;11,34
1102;Aceh Singkil;51772;50737;102509;57497;56826;114324;74599;351409;24840;21,72;96,4;3,6
1103;Aceh Selatan;99726;102525;202251;110375;114142;224515;156380;288619;29610;13,24;94,21;5,79
1104;Aceh Tenggara;89414;89596;179010;99388;100280;199668;135595;212025;30140;14,91;93,76;6,24
1105;Aceh Timur;180397;180078;360475;201001;201289;402290;262492;328048;63480;15,85;93,66;6,34
1106;Aceh Tengah;88793;86734;175527;98799;96954;195754;131818;380858;34260;17,51;94,71;5,29
1107;Aceh Barat;88090;85468;173558;97791;95666;193458;137909;424227;41360;21,46;94,64;5,36
1108;Aceh Besar;180575;170843;351418;200762;191142;391908;275891;366676;62270;15,93;98,03;1,97
1109;Pidie;183964;195144;379108;202488;215680;418163;291533;374031;88220;21,18;97,45;2,55
1110;Bireuen;191019;198269;389288;212457;222101;434555;305917;301027;73140;16,94;95,17;4,83
1111;Aceh Utara;262351;267400;529751;287696;295197;582890;394444;280683;111440;19,2;93,05;6,95
1112;Aceh Barat Daya;62700;63336;126036;69631;70818;140449;97698;292323;25930;18,25;94,9;5,1
1113;Gayo Lues;39586;39974;79560;43517;44213;87730;57469;286882;19320;21,95;95,38;4,62
1114;Aceh Tamiang;127355;124559;251914;140011;137841;277853;186836;343246;40380;14,57;98,49;1,51
1115;Nagan Raya;70606;69057;139663;78123;76680;154804;108628;361359;31320;20,13;96,27;3,73
1116;Aceh Jaya;39879;36903;76782;44894;41336;86232;60520;316304;13850;15,93;95,47;4,53
1117;Bener Meriah;62059;60218;122277;69033;67552;136586;93529;338719;29310;21,55;92,88;7,12
1118;Pidie Jaya;65004;67952;132956;72545;75921;148465;103681;380371;31810;21,4;95,66;4,34
1171;Banda Aceh;115097;108349;223446;128705;121163;249871;188541;523444;19300;7,72;99,97;0,03
1172;Sabang;15600;15053;30653;16784;16379;33163;23020;475111;5860;17,69;99,68;0,32
1173;Langsa;73996;74949;148945;82125;83482;165606;113985;307260;19220;11,62;99,66;0,34
1174;Lhokseumawe;85436;85727;171163;95067;96015;191082;130709;303155;23150;12,16;99,68;0,32
1175;Subulussalam;34064;33382;67446;37989;37072;75061;44599;244628;15250;20,39;97,97;2,03
1201;Nias;64057;67320;131377;66230;70013;136244;80940;287527;24530;18,05;54,45;45,55
1202;Mandailing Natal;199037;205908;404945;211300;219995;431295;277798;280506;47790;11,13;81,07;18,93
1203;Tapanuli Selatan;131200;132615;263815;136550;138798;275348;176977;300449;31200;11,37;88,33;11,67
1204;Tapanuli Tengah;156377;154855;311232;175519;174809;350328;218643;307710;52200;15;92,33;7,67
1205;Tapanuli Utara;138156;141101;279257;144964;148704;293668;187182;291893;33370;11,41;96,04;3,96
1206;Toba Samosir;86101;87028;173129;89124;90743;179867;117667;292695;18310;10,21;95,26;4,74
1207;Labuhanbatu;209924;205186;415110;233258;229339;462596;306644;298650;41630;8,99;95,26;4,74
1208;Asahan;335945;332327;668272;354360;352549;706910;480288;262464;85160;12,09;96,8;3,2
1209;Simalungun;407838;409882;817720;422790;427382;850172;587798;283234;92890;10,96;98,82;1,18
1210;Dairi;135004;135049;270053;139265;140075;279341;177389;263359;25330;9,09;91,93;8,07
1211;Karo;174418;176542;350960;193209;169662;362871;248401;357954;37520;9,68;97,04;2,96
1212;Deli Serdang;901915;888516;1790431;1020194;1010907;2031101;1409674;304183;95650;4,74;99,32;0,68
1213;Langkat;487676;479859;967535;509791;504489;1014279;703539;304825;114190;11,3;98,5;1,5
1214;Nias Selatan;143988;145720;289708;152948;155613;308561;187923;220455;58970;19,05;41,26;58,74
1215;Humbang Hasundutan;85344;86306;171650;90702;92456;183158;112707;262317;18040;9,85;95,82;4,18
1216;Pakpak Barat;20468;20037;40505;22979;22577;45556;27945;217919;5120;11,26;91,6;8,4
1217;Samosir;59504;60149;119653;61346;62556;123902;79433;242263;17640;14,11;97,63;2,37
1218;Serdang Bedagai;298614;295769;594383;305215;304017;609232;414114;301639;58300;9,59;99,35;0,65
1219;Batu Bara;189328;186557;375885;201500;199657;401157;269026;320422;50370;12,61;98,08;1,92
1220;Padang Lawas Utara;112357;111174;223531;126669;126144;252813;155028;256219;27670;10,97;85,56;14,44
1221;Padang Lawas;112987;112272;225259;129163;129070;258233;159098;247594;22380;8,73;87,07;12,93
1222;Labuhanbatu Selatan;141765;135908;277673;159924;154229;314153;202836;304632;36370;11,65;97,36;2,64
1223;Labuhanbatu Utara;167154;163547;330701;177110;174295;351405;230769;332815;39590;11,31;95,84;4,16
1224;Nias Utara;63061;64183;127244;66241;67778;134019;80612;326303;43740;32,62;56,69;43,31
1225;Nias Barat;39146;42661;81807;40569;44431;85000;51446;307907;25410;29,96;67,7;32,3
1271;Kota Sibolga;42408;42073;84481;43352;43244;86596;58615;355225;11640;13,48;99,59;0,41
1272;Kota Tanjung Balai;77933;76512;154445;84115;83044;167159;110695;322324;25090;15,08;99,41;0,59
1273;Kota Pematang Siantar;114561;120137;234698;120479;127165;247644;178143;403918;25830;10,47;99,75;0,25
1274;Kota Tebing Tinggi;71892;73356;145248;77433;79525;156959;111781;355621;18800;12,03;99,89;0,11
