BPS_ID#;KECAMATAN NAME;2010_male;2010_female;2010_total;2015_male;2015_female;2015_total;2015_adult;poverty_rupiah;poverty_people;poverty_percent;electricty_percent
1107062;Arongan Lambalek;5459;5150;10609;5972;5716;11688;8332;424227;4296;36,76;91,18
1107061;Bubon;3289;3256;6545;3600;3593;7194;5128;424227;1830;25,44;93,84
1107050;Johan Pahlawan;28457;27593;56050;31429;30724;62153;44306;424227;3470;5,58;99,27
1107080;Kaway Xvi;9582;9171;18753;10716;10488;21205;15116;424227;6240;29,43;95,16
1107081;Meureubo;13608;12902;26510;15051;14543;29594;21096;424227;4765;16,1;98,31
1107082;Pantai Ceuremen;4789;4846;9635;5784;5575;11358;8097;424227;4343;38,24;88,47
1107083;Panton Reu;2861;2810;5671;3141;3108;6249;4455;424227;2707;43,32;94,26
1107060;Samatiga;6737;6585;13322;7482;7387;14869;10600;424227;2212;14,88;98,11
1107090;Sungai Mas;1711;1683;3394;1874;1845;3719;2651;424227;1289;34,66;86,34
1107070;Woyla;6029;6044;12073;6650;6648;13298;9480;424227;5275;39,67;88,51
1107071;Woyla Barat;3477;3381;6858;3819;3767;7586;5408;424227;2962;39,05;79,75
1107072;Woyla Timur;2091;2047;4138;2274;2271;4545;3240;424227;1745;38,39;87,93
1112060;Babah Rot;8356;8063;16419;9259;8982;18241;12688;292323;3544;19,43;87,46
1112030;Blangpidie;9967;10117;20084;11080;11328;22408;15587;292323;1708;7,62;99,07
1112031;Jeumpa;4693;4788;9481;5213;5356;10569;7352;292323;2320;21,95;97,39
1112050;Kualabatee;8839;8901;17740;9832;9960;19792;13768;292323;3552;17,95;95,61
1112011;Lembah Sabil;4793;4978;9771;5321;5572;10892;7577;292323;1842;16,91;96,3
1112010;Manggeng;6227;6443;12670;6917;7205;14122;9823;292323;2895;20,5;95,84
1112021;Setia;3786;3675;7461;4194;4101;8295;5770;292323;2085;25,14;90,53
1112040;Susoh;10404;10497;20901;11564;11763;23327;16227;292323;3741;16,04;98,51
1112020;Tangantangan;5635;5874;11509;6252;6551;12803;8906;292323;4243;33,14;89,58
1108061;Baitussalam;9147;7443;16590;1068;8968;10045;7072;366676;1796;17,88;100
1108081;Blang Bintang;5455;5268;10723;6586;6242;12827;9030;366676;2284;17,81;96,97
1108110;Darul Imarah;23663;22734;46397;28171;27181;55354;38967;366676;3520;6,36;99,73
1108111;Darul Kamal;3429;3337;6766;412;3911;4326;3046;366676;1242;28,71;99,44
1108060;Darussalam;11083;11550;22633;13506;13404;26911;18944;366676;1744;6,48;99,98
