desa_id,kecamatan_id,kabupaten_id,province_id,latitude,longitude,access_point_type,2_g,3_g,4_g
3402160002,3402160,3402,34,-7.871682,110.2951364,Banking Agents,0,0,0
3404060005,3404060,3404,34,-7.7602976,110.3606701,Banking Agents,0,0,0
3403110006,3403110,3403,34,-7.868764,110.543086,Banking Agents,0,0,0
3403090006,3403090,3403,34,-7.9717164,110.5826261,Banking Agents,0,0,0
3404060005,3404060,3404,34,-7.7602976,110.3606701,Banking Agents,0,0,0
3403090010,3403090,3403,34,-7.9553385,110.6005039,Banking Agents,0,0,0
3404050001,3404050,3404,34,-7.8136563,110.2966257,Banking Agents,0,0,0
3471010001,3471010,3471,34,-7.8185544,110.3532229,Banking Agents,1,1,1
3404060005,3404060,3404,34,-7.753943,110.3591807,Banking Agents,0,0,0
3402030003,3402030,3402,34,-7.990013,110.3010938,Banking Agents,0,0,0
3471040003,3471040,3471,34,-7.812823,110.386532,Banking Agents,1,1,1
3471120002,3471120,3471,34,-7.790838,110.362792,Banking Agents,1,1,1
3471040002,3471040,3471,34,-7.820255,110.37861,Banking Agents,1,1,1
3471050002,3471050,3471,34,-7.827028,110.401508,Banking Agents,1,1,1
3402130008,3402130,3402,34,-7.811392,110.41052,Banking Agents,0,0,0
3471040007,3471040,3471,34,-7.798717,110.383892,Banking Agents,1,1,1
3471130003,3471130,3471,34,-7.778491,110.367284,Banking Agents,1,1,1
3471110003,3471110,3471,34,-7.795408,110.351679,Banking Agents,1,1,1
3471040006,3471040,3471,34,-7.798479,110.390261,Banking Agents,1,1,1
3471060003,3471060,3471,34,-7.783366,110.382813,Banking Agents,1,1,1
3471040003,3471040,3471,34,-7.819335,110.390592,Banking Agents,1,1,1
3471090001,3471090,3471,34,-7.80631,110.373128,Banking Agents,1,1,1
3471020003,3471020,3471,34,-7.806683,110.3608,Banking Agents,1,1,1
3471040006,3471040,3471,34,-7.799023,110.392845,Banking Agents,1,1,1
3471050003,3471050,3471,34,-7.806995,110.400236,Banking Agents,1,1,1
3471050003,3471050,3471,34,-7.80941,110.398739,Banking Agents,1,1,1
3471050002,3471050,3471,34,-7.827908,110.404345,Banking Agents,1,1,1
3471020003,3471020,3471,34,-7.804492,110.356261,Banking Agents,1,1,1
3471010001,3471010,3471,34,-7.810893,110.354939,Banking Agents,1,1,1
3471070001,3471070,3471,34,-7.792805,110.368604,Banking Agents,1,1,1
3471140004,3471140,3471,34,-7.774497,110.36372,Banking Agents,1,1,1
3471140002,3471140,3471,34,-7.778534,110.35285,Banking Agents,1,1,1
3471140003,3471140,3471,34,-7.779939,110.356428,Banking Agents,1,1,1
3471030002,3471030,3471,34,-7.811939,110.371695,Banking Agents,1,1,1
3471060001,3471060,3471,34,-7.7905898,110.3882478,Banking Agents,1,1,1
3471040007,3471040,3471,34,-7.799972,110.387171,Banking Agents,1,1,1
3402070005,3402070,3402,34,-7.891798,110.35556,Banking Agents,0,0,0
3471060005,3471060,3471,34,-7.779515,110.373081,Banking Agents,1,1,1
3471130001,3471130,3471,34,-7.785743,110.362145,Banking Agents,1,1,1
3471020001,3471020,3471,34,-7.811603,110.358065,Banking Agents,1,1,1
3471040007,3471040,3471,34,-7.799972,110.387171,Banking Agents,1,1,1
3471120001,3471120,3471,34,-7.79312,110.359041,Banking Agents,1,1,1
3471070001,3471070,3471,34,-7.792424,110.366096,Banking Agents,1,1,1
3402140003,3402140,3402,34,-7.827166,110.3688,Banking Agents,0,0,0
3471090001,3471090,3471,34,-7.805867,110.369501,Banking Agents,1,1,1
3471110002,3471110,3471,34,-7.803189,110.350826,Banking Agents,1,1,1
3471030003,3471030,3471,34,-7.807004,110.376487,Banking Agents,1,1,1
3471060003,3471060,3471,34,-7.785238,110.386029,Banking Agents,1,1,1
3471030002,3471030,3471,34,-7.812567,110.3708,Banking Agents,1,1,1
3471060003,3471060,3471,34,-7.783918,110.381354,Banking Agents,1,1,1
3471050003,3471050,3471,34,-7.813508,110.400756,Banking Agents,1,1,1
3471100002,3471100,3471,34,-7.795853,110.361275,Banking Agents,1,1,1
3471110001,3471110,3471,34,-7.808356,110.353043,Banking Agents,1,1,1
3471030001,3471030,3471,34,-7.819267,110.370187,Banking Agents,1,1,1
3471020002,3471020,3471,34,-7.8089,110.365494,Banking Agents,1,1,1
3471050001,3471050,3471,34,-7.824528,110.39523,Banking Agents,1,1,1
3471090002,3471090,3471,34,-7.804495,110.361806,Banking Agents,1,1,1
3471050003,3471050,3471,34,-7.811142,110.398681,Banking Agents,1,1,1
3471080001,3471080,3471,34,-7.797667,110.375591,Banking Agents,1,1,1
3471040001,3471040,3471,34,-7.825221,110.385908,Banking Agents,1,1,1
3404070002,3404070,3404,34,-7.781338,110.431406,Banking Agents,0,0,0
3471060005,3471060,3471,34,-7.782266,110.372843,Banking Agents,1,1,1
3471050003,3471050,3471,34,-7.806256,110.39815,Banking Agents,1,1,1
3471060004,3471060,3471,34,-7.784939,110.37496,Banking Agents,1,1,1
3471060005,3471060,3471,34,-7.778844,110.373287,Banking Agents,1,1,1
3471090002,3471090,3471,34,-7.798858,110.368981,Banking Agents,1,1,1
3471040004,3471040,3471,34,-7.81469,110.389925,Banking Agents,1,1,1
3471140001,3471140,3471,34,-7.787987,110.353882,Banking Agents,1,1,1
3471040004,3471040,3471,34,-7.809192,110.389918,Banking Agents,1,1,1
3471140003,3471140,3471,34,-7.776526,110.35558,Banking Agents,1,1,1
3471060001,3471060,3471,34,-7.792715,110.384324,Banking Agents,1,1,1
3471050001,3471050,3471,34,-7.816139,110.394334,Banking Agents,1,1,1
3471040002,3471040,3471,34,-7.827382,110.377283,Banking Agents,1,1,1
3471010001,3471010,3471,34,-7.820368,110.352728,Banking Agents,1,1,1
3471120002,3471120,3471,34,-7.79621,110.365359,Banking Agents,1,1,1
3471050001,3471050,3471,34,-7.824645,110.395222,Banking Agents,1,1,1
3471140002,3471140,3471,34,-7.77439,110.352193,Banking Agents,1,1,1
3471110002,3471110,3471,34,-7.8022843,110.3496697,Banking Agents,1,1,1
3471010001,3471010,3471,34,-7.820184,110.355179,Banking Agents,1,1,1
3471010002,3471010,3471,34,-7.813732,110.360622,Banking Agents,1,1,1
3471100002,3471100,3471,34,-7.8005564,110.3615356,Banking Agents,1,1,1
3471100001,3471100,3471,34,-7.8038652,110.359724,Banking Agents,1,1,1
3471100002,3471100,3471,34,-7.797562,110.359138,Banking Agents,1,1,1
3471060002,3471060,3471,34,-7.787904,110.392095,Banking Agents,1,1,1
3471030003,3471030,3471,34,-7.808397,110.37734,Banking Agents,1,1,1
3471030003,3471030,3471,34,-7.808397,110.37734,Banking Agents,1,1,1
3471040003,3471040,3471,34,-7.813659,110.386124,Banking Agents,1,1,1
3471140001,3471140,3471,34,-7.789385,110.35106,Banking Agents,1,1,1
3471010001,3471010,3471,34,-7.817792,110.353045,Banking Agents,1,1,1
3471030001,3471030,3471,34,-7.818657,110.370607,Banking Agents,1,1,1
3471060001,3471060,3471,34,-7.792092,110.389605,Banking Agents,1,1,1
3471030001,3471030,3471,34,-7.818946,110.371155,Banking Agents,1,1,1
3471050002,3471050,3471,34,-7.827034,110.402134,Banking Agents,1,1,1
3471090001,3471090,3471,34,-7.803566,110.370053,Banking Agents,1,1,1
