id;total_population;total_male;total_female;potential_population
11;5002000;;;3426370
12;13937800;;;9477704
13;5196300;;;3621821
14;6344400;;;4364947
15;3402100;;;2442708
16;8052300;;;5725185
17;1874900;;;1340554
18;8117300;;;5828221
19;1372800;;;993907
21;1973000;;;1363343
31;10177900;;;7653781
32;46709600;;;34004589
33;33774100;;;25431897
34;3679200;;;2877134
35;38847600;;;29834957
36;11955200;;;8536013
51;4152800;;;3135364
52;4835600;;;3380084
53;5120100;;;3322945
61;4789600;;;3371878
62;2495000;;;1781430
63;3989800;;;2840738
64;3426638;;;2457345
65;641936;;;443175
71;2412100;;;1789778
72;2876700;;;2042457
73;8520300;;;6066454
74;2499500;;;1657169
75;1133200;;;811371
76;1282200;;;874460
81;1686500;;;1124896
82;1162300;;;770605
91;871500;;;599592
94;3149400;;;2182534
1101;91101;46664;44437;
1102;118789;59765;59024;
1103;231067;113748;117319;
1104;207471;103530;103941;
1105;417501;208550;208951;
1106;203302;102117;101185;
1107;200736;101448;99288;
1108;407045;207846;199199;
1109;430934;208636;222298;
1110;450806;221083;229723;
1111;600280;296432;303848;
1112;145119;71888;73231;
1113;90641;44962;45679;
1114;285981;144204;141777;
1115;160547;80968;79579;
1116;89115;46195;42920;
1117;141862;72004;69858;
1118;153957;75031;78926;
1171;258653;132978;125675;
1172;33889;17192;16697;
1173;170882;84724;86158;
1174;198026;98505;99521;
1175;78312;39300;39012;
1201;137416;66940;70476;
1202;438453;215195;223258;
1203;278164;138659;139505;
1204;361998;181683;180315;
1205;297258;146760;150498;
1206;181516;90017;91499;
1207;476563;240373;236190;
1208;717209;360146;357063;
1209;858046;427523;430523;
1210;281561;140654;140907;
1211;401546;199329;202218;
1212;2103832;1058687;1045145;
1213;1026535;516784;509752;
1214;313625;155729;157896;
1215;186249;92550;93699;
1216;46984;23683;23301;
1217;125149;62136;63013;
1218;612422;307444;304978;
1219;408063;205186;202877;
1220;261615;131363;130252;
1221;268284;134581;133703;
1222;325204;165848;159356;
1223;356889;180275;176614;
1224;135821;67163;68658;
1225;85673;41162;44511;
1271;87015;43671;43344;
1272;170660;85977;84683;
1273;251010;122379;128631;
1274;160239;79222;81017;
1275;2242919;1108902;1134018;
1276;270168;134814;135354;
1277;215236;105015;110221;
1278;138883;67911;70972;
1301;88262;45791;42471;
1302;456420;226120;230300;
1303;368072;181968;186104;
1304;229148;114944;114204;
1305;346362;169055;177307;
1306;410406;201887;208519;
1307;482097;237714;244383;
1308;376495;185309;191186;
1309;274996;136593;138403;
1310;164880;83145;81735;
1311;233921;121143;112778;
1312;425153;214823;210330;
1371;923991;461237;462754;
1372;68276;33731;34545;
1373;61242;30372;30870;
1374;52244;26071;26173;
1375;126279;61202;65077;
1376;131314;65277;66037;
1377;86386;42620;43766;
1401;320397;164113;156284;
1402;423846;217507;206339;
1403;719932;369524;350408;
1404;433372;222500;210872;
1405;462298;237403;224895;
1406;827432;424668;402765;
1407;634939;325595;309344;
1408;557229;285989;271240;
1409;675274;346371;328903;
1410;183012;93770;89242;
1471;1084410;556515;527895;
1473;296199;152016;144183;
1501;236538;118168;118370;
1502;376474;192754;183720;
1503;288714;146975;141739;
1504;266201;135852;130349;
1505;418445;216212;202233;
1506;216412;110964;105448;
1507;321090;166260;154830;
1508;341500;175836;165664;
