BPS_ID#;PROV_NAME;2010_male;2010_female;2010_total;2015_male;2015_female;2015_total;2015_adult;poverty_rupiah;poverty_people;poverty_percent;electricity_count;electricty_percent;financial_inclusion_urban;financial_inclusion_rural;financial_inclusion_total;literacy_level;2018_male;2018_female;2018_total;2018_adult_male;2018_adult_female;2018_adult
11;Aceh;2248952;2245458;4494410;2492164;2501221;4993385;3422053;401772;859410;17,11;1236261;95,83;36,87;17,11;23,12;32,7;2644149;2647246;5291347;1803588;1841386;3644946
12;Sumatera Utara;6483354;6498850;12982204;6947776;6975486;13923262;9464066;366138;1508140;10,79;3321269;94,62;30,19;18,59;24,68;32,3;7203514;7232199;14435714;4877461;5000856;9878317
13;Sumatera Barat;2404377;2442532;4846909;2579452;2611125;5190577;3601669;403947;349530;6,71;1288122;94,52;40,46;20;28,64;27,3;2685626;2702980;5388596;1864382;1915284;3779697
14;Riau;2853168;2685199;5538367;3250975;3079966;6330941;4322897;417164;562920;8,82;1425340;91,89;38,94;20,76;28,12;29,5;3503177;3326664;6829839;2432607;2304013;4736620
15;Jambi;1581110;1511155;3092265;1733366;1663798;3397164;2416727;358427;311570;9,12;875067;93,81;34,04;18,12;23,19;26,9;1824440;1751548;3575988;1326952;1269937;2596889
16;Sumatera Selatan;3792647;3657747;7450394;4087186;3955856;8043042;5687925;340958;1112530;13,77;2038014;94,21;32,02;12,54;19,78;31,3;4259087;4122984;8382071;3040962;2959222;6000183
17;Bengkulu;877159;838359;1715518;955463;916673;1872136;1328112;410840;322830;17,76;495368;91,77;39,85;16,22;23,91;27,6;1001896;964472;1966367;709300;685668;1394966
18;Lampung;3916622;3691783;7608405;4161543;3948058;8109601;5793598;356772;1100680;13,53;2101046;94,9;27,01;12,35;16,42;26,9;4290790;4090784;8381562;3098872;2952346;6051211
19;Bangka Belitung;635094;588202;1223296;711607;658724;1370331;984896;529979;66620;4,83;367568;97,92;34,06;15,01;25,03;29,4;760827;701643;1462469;549777;501306;1051079
21;Kepulauan Riau;862144;817019;1679163;1006167;962146;1968313;1360693;480812;114840;5,78;558078;98,47;56,67;21,89;51,46;37,1;1092542;1050670;2143208;760366;737363;1497721
31;DKI Jakarta;4870938;4736849;9607787;5102215;5051919;10154134;7636318;503039;368670;3,61;3085015;100;51,13;NA;51,13;40;5254107;5232584;10486671;3922304;3566947;7489568
