GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,,Kabupaten,Regency,1107,ID.AC.AB
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,,Kabupaten,Regency,1112,ID.AC.AD
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,,Kabupaten,Regency,1108,ID.AC.AR
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.4_1,Aceh Jaya,,,Kabupaten,Regency,1116,ID.AC.AJ
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,,Kabupaten,Regency,1103,ID.AC.AS
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,,Kabupaten,Regency,1102,ID.AC.AN
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.7_1,Aceh Tamiang,,,Kabupaten,Regency,1114,ID.AC.AM
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.8_1,Aceh Tengah,,,Kabupaten,Regency,1106,ID.AC.AT
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.9_1,Aceh Tenggara,,,Kabupaten,Regency,1104,ID.AC.AG
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.10_1,Aceh Timur,,,Kabupaten,Regency,1105,ID.AC.AI
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.11_1,Aceh Utara,,,Kabupaten,Regency,1111,ID.AC.AU
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.12_1,Banda Aceh,,,Kota,City,1171,ID.AC.BA
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.13_1,Bener Meriah,,,Kabupaten,Regency,1117,ID.AC.BM
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.14_1,Bireuen,,,Kabupaten,Regency,1110,ID.AC.BI
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.15_1,Gayo Lues,,,Kabupaten,Regency,1113,ID.AC.GL
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.16_1,Langsa,,,Kota,City,1173,ID.AC.LA
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.17_1,Lhokseumawe,,,Kota,City,1174,ID.AC.LH
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.18_1,Nagan Raya,,,Kabupaten,Regency,1115,ID.AC.NR
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.20_1,Pidie,,,Kabupaten,Regency,1109,ID.AC.PD
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.19_1,Pidie Jaya,,,Kabupaten,Regency,1118,ID.AC.PJ
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.21_1,Sabang,,,Kota,City,1172,ID.AC.SA
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.22_1,Simeulue,,,Kabupaten,Regency,1101,ID.AC.SI
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.23_1,Subulussalam,,,Kota,City,1175,ID.AC.SU
