GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,GID_3,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.1_1,Arongan Lambalek,,,Kecamatan,Sub-district,1107062,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.2_1,Bubon,,,Kecamatan,Sub-district,1107061,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.3_1,Johan Pahlawan,,,Kecamatan,Sub-district,1107050,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.4_1,Kaway Xvi,,,Kecamatan,Sub-district,1107080,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.5_1,Meureubo,,,Kecamatan,Sub-district,1107081,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.6_1,Pantai Ceuremen,,,Kecamatan,Sub-district,1107082,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.7_1,Panton Reu,,,Kecamatan,Sub-district,1107083,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.8_1,Samatiga,,,Kecamatan,Sub-district,1107060,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.9_1,Sungai Mas,,,Kecamatan,Sub-district,1107090,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.12_1,Woyla,,,Kecamatan,Sub-district,1107070,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.10_1,Woyla Barat,,,Kecamatan,Sub-district,1107071,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.2_1,Aceh Barat,,IDN.1.2.11_1,Woyla Timur,,,Kecamatan,Sub-district,1107072,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,IDN.1.1.1_1,Babah Rot,,,Kecamatan,Sub-district,1112060,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,IDN.1.1.2_1,Blangpidie,,,Kecamatan,Sub-district,1112030,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,IDN.1.1.3_1,Jeumpa,,,Kecamatan,Sub-district,1112031,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,IDN.1.1.4_1,Kualabatee,,,Kecamatan,Sub-district,1112050,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,IDN.1.1.5_1,Lembah Sabil,,,Kecamatan,Sub-district,1112011,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,IDN.1.1.6_1,Manggeng,,,Kecamatan,Sub-district,1112010,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,IDN.1.1.7_1,Setia,,,Kecamatan,Sub-district,1112021,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,IDN.1.1.8_1,Susoh,,,Kecamatan,Sub-district,1112040,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.1_1,Aceh Barat Daya,,IDN.1.1.9_1,Tangantangan,,,Kecamatan,Sub-district,1112020,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.1_1,Baitussalam,,,Kecamatan,Sub-district,1108061,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.2_1,Blang Bintang,,,Kecamatan,Sub-district,1108081,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.3_1,Darul Imarah,,,Kecamatan,Sub-district,1108110,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.4_1,Darul Kamal,,,Kecamatan,Sub-district,1108111,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.5_1,Darussalam,,,Kecamatan,Sub-district,1108060,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.6_1,Indrapuri,,,Kecamatan,Sub-district,1108030,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.7_1,Ingin Jaya,,,Kecamatan,Sub-district,1108090,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.8_1,Kota Jantho,,,Kecamatan,Sub-district,1108041,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.9_1,Krueng Barona Jaya,,,Kecamatan,Sub-district,1108091,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.10_1,Kuta Baro,,,Kecamatan,Sub-district,1108070,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.11_1,Kuta Cot Glie,,,Kecamatan,Sub-district,1108031,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.12_1,Kuta Malaka,,,Kecamatan,Sub-district,1108101,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.13_1,Lembah Seulawah,,,Kecamatan,Sub-district,1108042,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.14_1,Leupung,,,Kecamatan,Sub-district,1108021,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.15_1,Lhoknga,,,Kecamatan,Sub-district,1108020,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.16_1,Lhoong,,,Kecamatan,Sub-district,1108010,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.17_1,Mesjid Raya,,,Kecamatan,Sub-district,1108050,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.18_1,Montasik,,,Kecamatan,Sub-district,1108080,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.19_1,Peukan Bada,,,Kecamatan,Sub-district,1108120,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.20_1,Pulo Aceh,,,Kecamatan,Sub-district,1108130,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.21_1,Seulimeum,,,Kecamatan,Sub-district,1108040,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.22_1,Simpang Tiga,,,Kecamatan,Sub-district,1108102,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.3_1,Aceh Besar,,IDN.1.3.23_1,Suka Makmur,,,Kecamatan,Sub-district,1108100,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.4_1,Aceh Jaya,,IDN.1.4.1_1,Jaya,,,Kecamatan,Sub-district,1116060,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.4_1,Aceh Jaya,,IDN.1.4.2_1,Krueng Sabee,,,Kecamatan,Sub-district,1116030,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.4_1,Aceh Jaya,,IDN.1.4.3_1,Panga,,,Kecamatan,Sub-district,1116020,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.4_1,Aceh Jaya,,IDN.1.4.4_1,Sampoiniet,,,Kecamatan,Sub-district,1116050,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.4_1,Aceh Jaya,,IDN.1.4.5_1,Setia Bakti,,,Kecamatan,Sub-district,1116040,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.4_1,Aceh Jaya,,IDN.1.4.6_1,Teunom,,,Kecamatan,Sub-district,1116010,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.2_1,Bakongan,,,Kecamatan,Sub-district,1103020,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.1_1,Bakongan Timur,,,Kecamatan,Sub-district,1103021,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.3_1,Kluet Selatan,,,Kecamatan,Sub-district,1103030,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.4_1,Kluet Tengah,,,Kecamatan,Sub-district,1103042,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.5_1,Kluet Timur,,,Kecamatan,Sub-district,1103031,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.6_1,Kluet Utara,,,Kecamatan,Sub-district,1103040,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.9_1,Labuhan Haji,,,Kecamatan,Sub-district,1103090,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.7_1,Labuhan Haji Barat,,,Kecamatan,Sub-district,1103092,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.8_1,Labuhan Haji Timur,,,Kecamatan,Sub-district,1103091,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.10_1,Meukek,,,Kecamatan,Sub-district,1103080,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.11_1,Pasieraja,,,Kecamatan,Sub-district,1103041,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.12_1,Samadua,,,Kecamatan,Sub-district,1103060,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.13_1,Sawang,,,Kecamatan,Sub-district,1103070,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.14_1,Tapaktuan,,,Kecamatan,Sub-district,1103050,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.16_1,Trumon,,,Kecamatan,Sub-district,1103010,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.5_1,Aceh Selatan,,IDN.1.5.15_1,Trumon Timur,,,Kecamatan,Sub-district,1103011,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.1_1,Danau Paris,,,Kecamatan,Sub-district,1102032,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.2_1,Gunung Meriah,,,Kecamatan,Sub-district,1102031,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.3_1,Kota Baharu,,,Kecamatan,Sub-district,1102043,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.4_1,Kuala Baru,,,Kecamatan,Sub-district,1102022,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.5_1,Pulau Banyak,,,Kecamatan,Sub-district,1102010,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.6_1,Simpang Kanan,,,Kecamatan,Sub-district,1102030,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.8_1,Singkil,,,Kecamatan,Sub-district,1102020,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.7_1,Singkil Utara,,,Kecamatan,Sub-district,1102021,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.9_1,Singkohor,,,Kecamatan,Sub-district,1102042,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.6_1,Aceh Singkil,,IDN.1.6.10_1,Suro Makmur,,,Kecamatan,Sub-district,1102033,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.7_1,Aceh Tamiang,,IDN.1.7.1_1,Banda Mulia,,,Kecamatan,Sub-district,1114061,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.7_1,Aceh Tamiang,,IDN.1.7.2_1,Bandar Pusaka,,,Kecamatan,Sub-district,1114011,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.7_1,Aceh Tamiang,,IDN.1.7.3_1,Bendahara,,,Kecamatan,Sub-district,1114060,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.7_1,Aceh Tamiang,,IDN.1.7.4_1,Karang Baru,,,Kecamatan,Sub-district,1114070,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.7_1,Aceh Tamiang,,IDN.1.7.5_1,Kejuruan Muda,,,Kecamatan,Sub-district,1114020,
IDN,Indonesia,IDN.1_1,Aceh,,IDN.1.7_1,Aceh Tamiang,,IDN.1.7.6_1,Kota Kuala Simpang,,,Kecamatan,Sub-district,1114040,
